Name,MSE,PSNR,fMSE,SE,SSIM,height,width,mask_area
a2769_1_1,47.03258514404297,31.406815012541323,80.97234344482422,1700.650112,0.9749763011932373,4256,2832,7000951.0
a2769_1_3,25.944833755493164,33.9902945188075,44.66720199584961,938.138624,0.9700390696525574,4256,2832,7000951.0
a2769_1_4,78.45390319824219,29.184658000760866,135.06797790527344,2836.8128,0.9786819219589233,4256,2832,7000951.0
a2769_1_5,16.190893173217773,36.03809526705587,27.874601364135742,585.446144,0.9815441966056824,4256,2832,7000951.0
a0394_1_4,19.272546768188477,35.281412300980016,88.61170959472656,347.830912,0.9826304316520691,2000,3008,1308446.0
a0394_1_1,11.101672172546387,37.676919230863476,51.043495178222656,200.362976,0.9830567240715027,2000,3008,1308446.0
a0394_1_2,12.998124122619629,36.99199647608937,59.76304244995117,234.590144,0.984582781791687,2000,3008,1308446.0
a0394_1_3,8.39191722869873,38.89219117450514,38.58452606201172,151.457312,0.9841458797454834,2000,3008,1308446.0
a0394_1_5,15.687431335449219,36.17528495279731,72.12799072265625,283.126752,0.9826018214225769,2000,3008,1308446.0
a3832_1_5,190.59359741210938,25.329720512444354,463.90203857421875,7272.832,0.9935364723205566,2912,4368,5225839.0
a3832_1_1,290.66748046875,23.496839132345265,707.4804077148438,11091.535872,0.9916419386863708,2912,4368,5225839.0
a3832_1_2,93.72494506835938,28.412251616779834,228.12513732910156,3576.435712,0.9951536059379578,2912,4368,5225839.0
a3832_1_3,157.6448974609375,26.154004397396648,383.7053527832031,6015.547392,0.9930171966552734,2912,4368,5225839.0
a3832_1_4,102.38557434082031,28.028415857823656,249.20498657226562,3906.915328,0.9963275790214539,2912,4368,5225839.0
a1197_1_4,5.910903453826904,40.41426421568272,35.919227600097656,215.747792,0.9937500953674316,2848,4272,2002157.0
a1197_1_1,28.62781524658203,33.56292139923867,173.9647674560547,1044.914304,0.9901180267333984,2848,4272,2002157.0
a1197_1_2,3.2598187923431396,42.99886768577328,19.80918312072754,118.98328,0.9946054220199585,2848,4272,2002157.0
a1197_1_3,24.47943687438965,34.24278920059977,148.75601196289062,893.498688,0.9913122653961182,2848,4272,2002157.0
a1197_1_5,5.079816818237305,41.07232223771591,30.868900299072266,185.413152,0.992673397064209,2848,4272,2002157.0
a0312_1_2,20.29290771484375,35.05736059114622,35.76902770996094,733.770752,0.9790490865707397,4256,2832,6838046.0
a0312_1_1,28.312414169311523,33.611034427579824,49.90450668334961,1023.747904,0.9816274642944336,4256,2832,6838046.0
a0312_1_3,25.691020965576172,34.03298980416953,45.28394317626953,928.961024,0.9777311086654663,4256,2832,6838046.0
a0312_1_4,63.029388427734375,30.135372607778358,111.0979232788086,2279.078144,0.9795560240745544,4256,2832,6838046.0
a0312_1_5,15.610506057739258,36.19663350899556,27.515653610229492,564.459904,0.9788517951965332,4256,2832,6838046.0
a0818_1_4,140.70237731933594,26.647789224080462,304.3343200683594,2539.396352,0.9817851781845093,3008,2000,2781367.0
a0818_1_1,28.097505569458008,33.64412579438724,60.77392578125,507.103776,0.9888992309570312,3008,2000,2781367.0
a0818_1_2,40.318084716796875,32.075804570328216,87.20661163330078,727.6608,0.9890093803405762,3008,2000,2781367.0
a0818_1_3,61.51078796386719,30.24129063360396,133.04568481445312,1110.146688,0.9758981466293335,3008,2000,2781367.0
a0818_1_5,10.132513999938965,38.07363105534279,21.91627311706543,182.8716,0.9904022216796875,3008,2000,2781367.0
a0945_1_4,130.3642120361328,26.97921973567143,483.8997802734375,3201.227776,0.9730055332183838,2336,3504,2205159.0
a0945_1_1,57.99235534667969,30.497096054983842,215.26220703125,1424.062208,0.9832524657249451,2336,3504,2205159.0
a0945_1_2,46.413761138916016,31.46433588614547,172.28355407714844,1139.737856,0.9869790077209473,2336,3504,2205159.0
a0945_1_3,29.50006675720215,33.432573473797405,109.50149536132812,724.404608,0.9867472648620605,2336,3504,2205159.0
a0945_1_5,110.73765563964844,27.687850318602976,411.0478515625,2719.277568,0.9753272533416748,2336,3504,2205159.0
a3187_1_1,20.2160587310791,35.07383848772448,82.98397064208984,381.565344,0.9849594831466675,3072,2048,1532687.0
a3187_1_2,14.647000312805176,36.47331640382844,60.1237907409668,276.452864,0.9889325499534607,3072,2048,1532687.0
a3187_1_3,15.962864875793457,36.099694962649025,65.52523040771484,301.288992,0.985779881477356,3072,2048,1532687.0
a3187_1_4,13.402106285095215,36.85907270687031,55.01368713378906,252.956288,0.9887492656707764,3072,2048,1532687.0
a3187_1_5,12.256754875183105,37.2470482477565,50.31218338012695,231.338496,0.9892529845237732,3072,2048,1532687.0
a2162_1_5,12.0361909866333,37.325912544095004,46.97572708129883,459.287168,0.9896329641342163,2912,4368,3259039.0
a2162_1_1,13.62142562866211,36.78857765441723,53.16269302368164,519.777888,0.9882047176361084,2912,4368,3259039.0
a2162_1_2,10.527690887451172,37.90747194850487,41.08824157714844,401.724544,0.990135133266449,2912,4368,3259039.0
a2162_1_3,6.318424701690674,40.12471477876345,24.660011291503906,241.103808,0.9875669479370117,2912,4368,3259039.0
a2162_1_4,26.510009765625,33.89670456769272,103.46520233154297,1011.591424,0.9831061363220215,2912,4368,3259039.0
a0451_1_3,12.506512641906738,37.15944099703739,45.535125732421875,318.074432,0.9789119958877563,2376,3568,2328418.0
a0451_1_1,6.6331634521484375,39.913595962281725,24.150772094726562,168.69928,0.9819000959396362,2376,3568,2328418.0
a0451_1_2,4.394116401672363,41.70208704683661,15.99859619140625,111.754256,0.9830643534660339,2376,3568,2328418.0
a0451_1_4,5.987596035003662,40.35827796211443,21.800317764282227,152.280752,0.9870312213897705,2376,3568,2328418.0
a0451_1_5,19.198471069335938,35.29813694573786,69.89997100830078,488.269056,0.9750649333000183,2376,3568,2328418.0
a0431_1_5,49.509765625,31.18389481672633,232.2627410888672,1790.222464,0.9846071004867554,2832,4256,2569249.0
a0431_1_1,31.798255920410156,33.10677046877045,149.17359924316406,1149.792384,0.9888471364974976,2832,4256,2569249.0
a0431_1_2,15.461732864379883,36.23822167177572,72.53487396240234,559.080448,0.991690993309021,2832,4256,2569249.0
a0431_1_3,27.399951934814453,33.75330544039053,128.54005432128906,990.75424,0.9851757884025574,2832,4256,2569249.0
a0431_1_4,36.996253967285156,32.44922597053896,173.5587158203125,1337.746688,0.9916930198669434,2832,4256,2569249.0
a3716_1_3,103.17694091796875,27.994977092809332,193.6738739013672,3119.35744,0.9712079763412476,3888,2592,5368746.0
a3716_1_1,284.8572998046875,23.5845300609906,534.7068481445312,8612.115456,0.9685648679733276,3888,2592,5368746.0
a3716_1_2,65.9139633178711,29.941029283113267,123.72738647460938,1992.78272,0.9859122037887573,3888,2592,5368746.0
a3716_1_4,107.2417984008789,27.827162685063755,201.3040313720703,3242.250752,0.9748086333274841,3888,2592,5368746.0
a3716_1_5,327.57135009765625,22.977744488670346,614.8855590820312,9903.49312,0.9514612555503845,3888,2592,5368746.0
a3532_1_3,62.19712448120117,30.193100471819136,174.31015014648438,2248.98432,0.9815610647201538,2832,4256,4300733.0
a3532_1_1,105.25402069091797,27.908416619202523,294.97900390625,3805.87776,0.9796035289764404,2832,4256,4300733.0
a3532_1_2,39.76008987426758,32.136329925332824,111.42938232421875,1437.684096,0.9826797842979431,2832,4256,4300733.0
a3532_1_4,27.932270050048828,33.669741131580544,78.28141021728516,1010.002304,0.9814532995223999,2832,4256,4300733.0
a3532_1_5,174.81228637695312,25.70508405381537,489.9190673828125,6321.033216,0.9694033861160278,2832,4256,4300733.0
a2343_1_4,9.488011360168457,38.35905119085765,44.52631759643555,179.080224,0.9900502562522888,3072,2048,1340632.0
a2343_1_1,6.4499077796936035,40.03526788365332,30.2687931060791,121.737936,0.9912989139556885,3072,2048,1340632.0
a2343_1_2,2.6868221759796143,43.83841275090947,12.608996391296387,50.712072,0.9915027022361755,3072,2048,1340632.0
a2343_1_3,3.1067519187927246,43.2077364584011,14.579686164855957,58.63798,0.9906634092330933,3072,2048,1340632.0
a2343_1_5,6.721944808959961,39.855853539192964,31.545434951782227,126.872456,0.9878867864608765,3072,2048,1340632.0
a3604_1_5,95.1037368774414,28.34882774449474,200.37232971191406,1781.026688,0.9373435378074646,3060,2040,2962862.0
a3604_1_1,50.205570220947266,31.123284481797967,105.7771987915039,940.209728,0.9389547109603882,3060,2040,2962862.0
a3604_1_2,17.042987823486328,35.81534601674123,35.90755844116211,319.167424,0.9383773803710938,3060,2040,2962862.0
a3604_1_3,38.17824172973633,32.31264426080617,80.4370346069336,714.97152,0.9229258298873901,3060,2040,2962862.0
a3604_1_4,17.315433502197266,35.74646966943791,36.481571197509766,324.269568,0.9354954957962036,3060,2040,2962862.0
a0559_1_3,32.108123779296875,33.0646541879518,181.1036834716797,579.487424,0.9921743273735046,2000,3008,1066585.0
a0559_1_1,8.801679611206055,38.6851475570795,49.64527130126953,158.852704,0.9943748712539673,2000,3008,1066585.0
a0559_1_2,9.995408058166504,38.1327978872,56.37841796875,180.39712,0.9945068359375,2000,3008,1066585.0
a0559_1_4,96.56415557861328,28.282644092850067,544.6635131835938,1742.789888,0.9893466234207153,2000,3008,1066585.0
a0559_1_5,24.60704231262207,34.22020927179512,138.79434204101562,444.107904,0.9923574328422546,2000,3008,1066585.0
a1170_1_2,18.09130096435547,35.556105383094476,75.9503402709961,460.11072,0.984144389629364,2376,3568,2019349.0
a1170_1_1,29.90614891052246,33.37319854899141,125.55106353759766,760.59424,0.9823765158653259,2376,3568,2019349.0
a1170_1_3,23.818937301635742,34.361579614044906,99.99591827392578,605.779968,0.9761797189712524,2376,3568,2019349.0
a1170_1_4,139.84169006347656,26.674436937533844,587.0789794921875,3556.552192,0.9746555089950562,2376,3568,2019349.0
a1170_1_5,15.2373685836792,36.30170359342759,63.96904754638672,387.527488,0.9798793792724609,2376,3568,2019349.0
a2966_1_5,10.335834503173828,37.987347720427906,49.850608825683594,253.807088,0.9563683271408081,3504,2336,1697118.0
a2966_1_1,10.511616706848145,37.91410803061012,50.698421478271484,258.123616,0.9607553482055664,3504,2336,1697118.0
a2966_1_2,9.913125991821289,38.16869691137284,47.811851501464844,243.427056,0.9616336226463318,3504,2336,1697118.0
a2966_1_3,11.744573593139648,37.432430702947684,56.64507293701172,288.400128,0.9606472253799438,3504,2336,1697118.0
a2966_1_4,13.910848617553711,36.6972670514279,67.09320831298828,341.595264,0.9562580585479736,3504,2336,1697118.0
a1095_1_4,13.008048057556152,36.98868194750008,28.371505737304688,234.769248,0.98624587059021,2000,3008,2758275.0
a1095_1_1,36.69249725341797,32.48503078636711,80.02902221679688,662.226176,0.9844105243682861,2000,3008,2758275.0
a1095_1_2,9.464271545410156,38.36993122563401,20.642269134521484,170.811168,0.9899498224258423,2000,3008,2758275.0
a1095_1_3,43.42466354370117,31.753438886683412,94.71237182617188,783.72832,0.9875562191009521,2000,3008,2758275.0
a1095_1_5,35.86243438720703,32.584405820747754,78.21859741210938,647.245184,0.9842199683189392,2000,3008,2758275.0
a3852_1_4,192.33815002441406,25.290149240759607,344.38311767578125,3471.318784,0.9671049118041992,2000,3008,3359939.0
a3852_1_1,187.97982788085938,25.389691109431954,336.5794982910156,3392.659712,0.9642888307571411,2000,3008,3359939.0
a3852_1_2,14.308324813842773,36.574915399904334,25.619178771972656,258.23664,0.9722117185592651,2000,3008,3359939.0
a3852_1_3,75.86677551269531,29.33028729057559,135.84011840820312,1369.24352,0.9618531465530396,2000,3008,3359939.0
a3852_1_5,75.55638122558594,29.348092059150922,135.2843475341797,1363.641472,0.9751361608505249,2000,3008,3359939.0
a3695_1_2,50.75708770751953,31.075836567147253,97.30342864990234,1246.392704,0.9449617862701416,2336,3504,4269780.0
a3695_1_1,49.518795013427734,31.183102840456954,94.92957305908203,1215.985152,0.941983699798584,2336,3504,4269780.0
a3695_1_3,44.19301986694336,31.67726671570762,84.71984100341797,1085.205248,0.936018705368042,2336,3504,4269780.0
a3695_1_4,124.84053039550781,27.167247522552177,239.32444763183594,3065.588224,0.9124581217765808,2336,3504,4269780.0
a3695_1_5,26.17730712890625,33.95155375829213,50.18297576904297,642.810816,0.9314411878585815,2336,3504,4269780.0
a1554_1_2,11.697340965270996,37.44993174417617,71.37248992919922,279.424576,0.9934686422348022,2304,3456,1305006.0
a1554_1_1,22.953235626220703,34.522364269947175,140.05145263671875,548.303936,0.9894378185272217,2304,3456,1305006.0
a1554_1_3,35.511959075927734,32.62705717102853,216.6797637939453,848.305152,0.9920572638511658,2304,3456,1305006.0
a1554_1_4,8.53895378112793,38.816756471542476,52.10127639770508,203.97744,0.9934760928153992,2304,3456,1305006.0
a1554_1_5,9.134045600891113,38.524171378690724,55.7322883605957,218.192912,0.9939273595809937,2304,3456,1305006.0
a1296_1_3,30.44061279296875,33.29626955732192,70.51732635498047,367.227776,0.9788998365402222,1632,2464,1735875.0
a1296_1_1,5.516767501831055,40.71395600670682,12.779889106750488,66.552872,0.990557074546814,1632,2464,1735875.0
a1296_1_2,35.36545181274414,32.64501137787288,81.92597961425781,426.639776,0.9837856292724609,1632,2464,1735875.0
a1296_1_4,21.64801025390625,34.77662355842554,50.14878463745117,261.156064,0.981255292892456,1632,2464,1735875.0
a1296_1_5,12.676058769226074,37.10096082591374,29.364774703979492,152.920736,0.9737396240234375,1632,2464,1735875.0
a3544_1_2,7.781177520751953,39.220349815777766,37.695518493652344,197.896384,0.9639613628387451,3568,2376,1749955.0
a3544_1_1,7.208232879638672,39.552514914722835,34.919918060302734,183.324848,0.9642388820648193,3568,2376,1749955.0
a3544_1_3,11.681365013122559,37.455867289414705,56.589778900146484,297.088704,0.9632920026779175,3568,2376,1749955.0
a3544_1_4,6.182823657989502,40.21893430582424,29.952373504638672,157.24592,0.9712356328964233,3568,2376,1749955.0
a3544_1_5,11.938287734985352,37.36138282501359,57.83443069458008,303.622944,0.9607075452804565,3568,2376,1749955.0
a1253_1_2,11.867886543273926,37.38706938454567,58.568336486816406,214.191616,0.9964861869812012,3008,2000,1219041.0
a1253_1_1,4.429163455963135,41.66758554823087,21.858041763305664,79.937544,0.9965922236442566,3008,2000,1219041.0
a1253_1_3,4.166622161865234,41.93296137138037,20.56239128112793,75.199192,0.9964666366577148,3008,2000,1219041.0
a1253_1_4,14.8650541305542,36.409138366407056,73.35944366455078,268.284496,0.9958261847496033,3008,2000,1219041.0
a1253_1_5,6.624173164367676,39.91948618366832,32.69047164916992,119.553072,0.9968785047531128,3008,2000,1219041.0
a2384_1_2,5.3202948570251465,40.87144577162937,28.607894897460938,194.190592,0.9883203506469727,2848,4272,2262669.0
a2384_1_1,3.3616511821746826,42.86527584297637,18.076021194458008,122.70016,0.9891238212585449,2848,4272,2262669.0
a2384_1_3,3.4131503105163574,42.79924819185902,18.35293960571289,124.57988,0.9894313812255859,2848,4272,2262669.0
