Name,MSE,PSNR,fMSE,SE,SSIM,height,width,mask_area
c306095_108129_1,16.97484588623047,35.83274495250576,593.0205688476562,13.916658,"tensor(0.9968, device='cuda:0')",427,640,7822.470703125
c436145_1949302_1,6.3711042404174805,40.08865581879874,498.6802062988281,4.587195,"tensor(0.9989, device='cuda:0')",400,600,3066.2236328125
c237911_1093494_1,4.472663879394531,41.62514001591301,95.07008361816406,4.122007,"tensor(0.9976, device='cuda:0')",480,640,14452.521484375
c292338_171001_1,3.63810396194458,42.522051362515604,127.30635833740234,3.3528765,"tensor(0.9985, device='cuda:0')",480,640,8779.0234375
c158497_1119930_1,9.551959037780762,38.32987864022273,383.2969970703125,7.812738,"tensor(0.9983, device='cuda:0')",426,640,6794.3291015625
c558585_45930_1,2.9941418170928955,43.368078490305194,205.43557739257812,2.759401,"tensor(0.9985, device='cuda:0')",480,640,4477.31787109375
c446113_171805_1,14.2249116897583,36.60030751422774,305.9214782714844,13.109678,"tensor(0.9929, device='cuda:0')",480,640,14284.3603515625
c57361_267675_1,7.409352779388428,39.43300029040276,582.925537109375,5.917998,"tensor(0.9990, device='cuda:0')",416,640,3384.07861328125
c57361_267675_2,3.4388351440429688,42.76668878105891,270.54791259765625,2.74666625,"tensor(0.9993, device='cuda:0')",416,640,3384.07861328125
c14562_657638_1,10.880232810974121,37.76442132626631,714.6007690429688,8.92005,"tensor(0.9986, device='cuda:0')",640,427,4160.85498046875
c410920_589919_1,2.8159027099609375,43.6346256087639,179.07899475097656,2.30858975,"tensor(0.9995, device='cuda:0')",427,640,4297.1533203125
c524992_134356_1,8.732722282409668,38.71930662169022,596.4188842773438,8.0480765,"tensor(0.9989, device='cuda:0')",480,640,4498.0
c315043_1926691_2,20.05570411682129,35.108424253923616,932.4385375976562,16.442468,"tensor(0.9964, device='cuda:0')",640,427,5877.9453125
c315043_1926691_1,12.678044319152832,37.1002806099286,589.4331665039062,10.393968,"tensor(0.9977, device='cuda:0')",640,427,5877.9453125
c120320_1876791_1,8.604045867919922,38.7837759345937,654.3487548828125,7.037421,"tensor(0.9980, device='cuda:0')",426,640,3584.94921875
c292315_466324_1,7.986114501953125,39.10744773830259,346.1329345703125,7.360003,"tensor(0.9978, device='cuda:0')",480,640,7087.8388671875
c395758_108125_1,2.6239173412323,43.941300456002786,170.5664825439453,2.1511925,"tensor(0.9983, device='cuda:0')",427,640,4204.015625
c145351_537880_1,4.655636310577393,41.45101220873448,262.51416015625,5.231222,"tensor(0.9968, device='cuda:0')",612,612,6642.462890625
c175781_378239_1,3.151087999343872,43.146196913092425,119.74734497070312,2.57733775,"tensor(0.9951, device='cuda:0')",426,640,7174.376953125
c579752_227998_3,18.908592224121094,35.364211417916735,544.528564453125,17.426158,"tensor(0.9909, device='cuda:0')",480,640,10667.427734375
c579752_227998_1,8.76932430267334,38.701141801127896,252.53851318359375,8.081809,"tensor(0.9950, device='cuda:0')",480,640,10667.427734375
c579752_227998_2,11.356189727783203,37.57847682955602,327.034912109375,10.465864,"tensor(0.9954, device='cuda:0')",480,640,10667.427734375
c197597_1561763_1,1.8228963613510132,45.52318144573754,91.41097259521484,1.67998125,"tensor(0.9962, device='cuda:0')",480,640,6126.1103515625
c134870_486847_2,10.084465026855469,38.09427453631932,948.0313110351562,8.2482855,"tensor(0.9982, device='cuda:0')",426,640,2900.14501953125
c134870_486847_1,1.2230393886566162,47.256395618193,114.97681427001953,1.000348375,"tensor(0.9997, device='cuda:0')",426,640,2900.14501953125
c446983_429153_1,10.164329528808594,38.060015816537174,530.519775390625,8.333124,"tensor(0.9947, device='cuda:0')",427,640,5235.82373046875
c131927_1712744_1,4.577246189117432,41.524759942193086,166.05982971191406,2.574701,"tensor(0.9990, device='cuda:0')",375,500,5168.2197265625
c486254_1920552_2,10.612014770507812,37.87282474152471,995.8440551757812,9.780033,"tensor(0.9975, device='cuda:0')",480,640,3273.61572265625
c486254_1920552_1,6.994965553283691,39.682947186317804,656.4158325195312,6.44656,"tensor(0.9980, device='cuda:0')",480,640,3273.61572265625
c508954_534369_1,2.191488265991211,44.72341013065795,133.21168518066406,2.019675625,"tensor(0.9974, device='cuda:0')",480,640,5053.7998046875
c508954_534369_2,2.803959846496582,43.653084158633035,170.44134521484375,2.58412925,"tensor(0.9969, device='cuda:0')",480,640,5053.7998046875
c271892_76919_1,3.290431261062622,42.958274063030935,121.50154876708984,2.69762725,"tensor(0.9982, device='cuda:0')",427,640,7400.8037109375
c161760_1543536_1,16.75979232788086,35.88811702010068,657.4366455078125,13.740349,"tensor(0.9953, device='cuda:0')",427,640,6966.62744140625
c329957_1118904_1,3.781006097793579,42.354728682370094,158.7332763671875,3.0780415,"tensor(0.9971, device='cuda:0')",424,640,6463.7607421875
c185200_1640027_1,14.906607627868652,36.39701511629071,480.9801330566406,13.737929,"tensor(0.9950, device='cuda:0')",480,640,9520.7880859375
c185200_1640027_2,21.59101676940918,34.78807246036218,696.6608276367188,19.89828,"tensor(0.9895, device='cuda:0')",480,640,9520.7880859375
c260138_1288374_1,1.5992776155471802,46.09156230671335,90.879150390625,1.47389425,"tensor(0.9989, device='cuda:0')",480,640,5406.05908203125
c205362_402301_1,3.3226704597473145,42.91592959785628,218.01144409179688,3.062173,"tensor(0.9976, device='cuda:0')",640,480,4681.97607421875
c126534_1062500_1,7.4659423828125,39.39995668691145,227.31448364257812,8.388972,"tensor(0.9889, device='cuda:0')",612,612,12301.564453125
c480001_601260_3,15.59182071685791,36.2018350062722,1232.14404296875,14.369422,"tensor(0.9969, device='cuda:0')",480,640,3887.37646484375
c480001_601260_1,3.844909429550171,42.28194133870956,303.84405517578125,3.5434685,"tensor(0.9990, device='cuda:0')",480,640,3887.37646484375
c480001_601260_2,1.995015263557434,45.13133920421855,157.6561279296875,1.838606,"tensor(0.9995, device='cuda:0')",480,640,3887.37646484375
c34285_58287_1,7.345583438873291,39.47054005468648,263.015625,6.0080995,"tensor(0.9969, device='cuda:0')",426,640,7614.3759765625
c34285_58287_2,6.346465587615967,40.1054836291475,227.24124145507812,5.190901,"tensor(0.9973, device='cuda:0')",426,640,7614.3759765625
c121879_363976_1,3.9400999546051025,42.175730112590315,329.8638916015625,3.631196,"tensor(0.9989, device='cuda:0')",480,640,3669.38818359375
c537007_647178_1,10.235386848449707,38.0297605688354,429.9776306152344,6.17071,"tensor(0.9950, device='cuda:0')",314,640,4783.7451171875
c56435_1111596_1,6.7780256271362305,39.819770902592005,521.990234375,5.778131,"tensor(0.9969, device='cuda:0')",444,640,3689.80810546875
c244032_126003_1,2.789531707763672,43.67548902912166,161.7476348876953,1.56492725,"tensor(0.9980, device='cuda:0')",500,374,3225.0390625
c8043_1089185_1,5.041607856750488,41.10511212098743,464.05023193359375,4.13331175,"tensor(0.9982, device='cuda:0')",640,427,2969.01171875
c35282_348185_1,3.64318585395813,42.515989146982214,230.8845977783203,2.9798345,"tensor(0.9984, device='cuda:0')",426,640,4302.0546875
c385337_491332_1,14.283248901367188,36.58253326141541,353.54766845703125,11.682555,"tensor(0.9942, device='cuda:0')",426,640,11014.595703125
c350044_459730_2,11.727344512939453,37.43880640273642,438.62200927734375,12.068844,"tensor(0.9981, device='cuda:0')",536,640,9171.7880859375
c350044_459730_1,11.705970764160156,37.44672888645209,437.8226013183594,12.046848,"tensor(0.9981, device='cuda:0')",536,640,9171.7880859375
c93243_632143_1,13.769319534301758,36.74167850929362,488.0513916015625,11.288639,"tensor(0.9928, device='cuda:0')",640,427,7710.00732421875
c42526_703712_1,3.257594108581543,43.00183256658524,191.2606964111328,1.832396625,"tensor(0.9981, device='cuda:0')",375,500,3193.541015625
c90322_661480_2,7.332086563110352,39.478527180053675,233.45477294921875,5.99706,"tensor(0.9961, device='cuda:0')",640,426,8562.7724609375
c90322_661480_1,8.171521186828613,39.007773966532795,260.1824951171875,6.6836505,"tensor(0.9952, device='cuda:0')",640,426,8562.7724609375
c126356_365523_1,6.626828193664551,39.91774584060569,438.77947998046875,5.458386,"tensor(0.9981, device='cuda:0')",429,640,4146.64306640625
c552031_588919_1,2.2225329875946045,44.66231949825467,175.89093017578125,1.11015525,"tensor(0.9991, device='cuda:0')",333,500,2103.87060546875
c193373_429965_1,1.552191972732544,46.221346479514544,149.50804138183594,1.272549125,"tensor(0.9982, device='cuda:0')",427,640,2837.192138671875
c259336_1104720_1,2.16172456741333,44.78279801742296,112.00558471679688,1.77226825,"tensor(0.9976, device='cuda:0')",427,640,5274.3447265625
c457029_646455_1,3.72601056098938,42.4183616278592,255.8704833984375,3.0547325,"tensor(0.9987, device='cuda:0')",427,640,3979.529541015625
c77100_1312390_1,3.65788197517395,42.49850553672064,172.25006103515625,2.998878,"tensor(0.9988, device='cuda:0')",427,640,5803.341796875
